key_name,key_mode,key_strength,num_key_signature_changes,most_frequent_key_signature,average_pitch,median_pitch,std_dev_pitch,pitch_range,unique_pitch_classes,pitch_entropy,average_melodic_interval,note_density,rhythmic_variance,rest_proportion,chord_diversity,most_common_chord,consonance_ratio,num_instruments,instrument_diversity,most_common_instrument,average_tempo,min_tempo,max_tempo,tempo_variability,time_signature_changes,most_frequent_time_signature,measure_count,total_duration,composer
C,major,0.8837165527149484,4,0,52.871896722939425,53.0,6.164130042672554,31.0,12,3.1341504253700063,-0.016898608349900597,3.8143939393939394,0.04402055521971818,0.26216484607745777,0,,0.0,4,4,Johann Sebastian Bach  (1685-1750),52.5,35.0,70.0,17.5,4,3/4,0,264.0,Bach
C,major,0.8867794619586468,4,0,52.95679012345679,53.0,6.1830933354296835,31.0,11,3.0751617282549755,0.005149330587023687,3.9081632653061225,0.020715595579763994,0.28067885117493474,7,Major Second,0.0,4,4,Johann Sebastian Bach  (1685-1750),150.0,50.0,250.0,100.0,4,4/4,0,196.0,Bach
A,minor,0.877005572042651,4,0,52.73131313131313,53.0,6.011649405838339,28.0,12,3.1853602179540217,-0.024266936299292215,1.952662721893491,0.0489072543617998,0.5171717171717172,0,,0.0,4,4,Johann Sebastian Bach  (1685-1750),202.5,155.0,250.0,47.5,4,3/4,0,507.0,Bach
C,major,0.8761511954342834,4,0,53.013824884792626,54.0,6.446861318046735,31.0,12,3.2671043566101794,0.0,2.9722222222222223,0.18141868285439774,0.3598130841121495,2,Major Second,0.0,4,4,Johann Sebastian Bach  (1685-1750),40.0,40.0,40.0,0.0,4,3/4,0,144.0,Bach
C,major,0.8381319358033371,9,0,54.0976430976431,55.0,5.423325878168649,29.0,11,3.231178219211003,-0.017977528089887642,1.6748120300751879,0.11705154802797899,0.30190796857463525,0,,0.0,3,3,Johann Sebastian Bach  (1685-1750),158.33333333333334,75.0,250.0,71.68604389202189,3,4/4,0,532.0,Bach
G,major,0.8613684111381186,4,0,52.75763358778626,53.0,6.2051781297129,31.0,12,3.0639135975295138,-0.018147086914995225,3.219662058371736,0.030543456092302308,0.8072519083969466,0,,0.0,4,4,Johann Sebastian Bach  (1685-1750),138.33333333333334,55.0,250.0,82.09073570683168,4,3/8,0,325.5,Bach
E-,major,0.9345010129475854,3,-3,53.55607476635514,53.0,6.077700585387943,31.0,12,3.1653700308808417,0.0117096018735363,2.2291666666666665,0.21148135208315139,0.26635514018691586,0,,0.0,3,3,Johann Sebastian Bach  (1685-1750),45.0,45.0,45.0,0.0,3,3/4,0,192.0,Bach
E-,major,0.9519542416227916,4,-3,53.60740740740741,55.0,5.307013244260838,31.0,11,3.011358708022362,-0.008895478131949592,1.9970414201183433,0.1934432098765432,0.38666666666666666,0,,0.0,4,4,Johann Sebastian Bach  (1685-1750),167.33333333333334,84.0,250.0,67.7708557485361,4,4/4,0,676.0,Bach
C,minor,0.8776537533599345,1,-3,52.65217391304348,53.0,5.27221028395519,25.0,12,3.229755848817502,-0.012435233160621761,1.8941176470588235,0.04145287604644881,0.002070393374741201,0,,0.0,1,1,Solo Cello,178.33333333333334,95.0,250.0,63.8139657302555,1,12/8,0,510.0,Bach
B,minor,0.9378348293043968,1,2,72.49277266754271,73.0,6.56436946336852,31.0,12,3.324416552735777,-0.025,3.805,0.001715962639931897,0.003942181340341655,0,,0.0,1,1,Violin,73.17073170731707,40.0,78.0,5.576091992034277,1,4/4,0,200.0,Bach
E,major,0.8452985109318341,2,4,72.56508515815085,73.0,6.396282560116864,32.0,12,3.164776465200423,-0.014607425441265977,3.932853717026379,0.013219809637120761,0.15609756097560976,4,Augmented Fourth,0.0,2,2,s,108.93939393939394,80.0,120.0,9.108568706175234,2,3/4,0,417.0,Bach
B,minor,0.9500310407057889,3,2,67.71428571428571,71.0,10.434974017496431,51.0,12,3.2743016056563934,-0.002785515320334262,3.6844444444444444,0.7610224554899057,0.09167671893848009,19,Major Sixth,0.01646090534979424,3,3,Violin,85.5,60.0,96.0,7.971825386948713,3,6/4,0,225.0,Bach
B,minor,0.9487996635055636,3,2,67.09003350083752,71.0,10.999536361428234,49.0,12,3.2242546353293253,-0.002932551319648094,4.039930555555555,0.23955750389340127,0.03308981521272024,8,Major Second,0.11320754716981132,3,3,Violin,173.33333333333334,140.0,200.0,19.72026594366539,3,4/4,0,576.0,Bach
D,major,0.9396788980868085,3,2,68.41674975074775,73.0,11.230468748864837,51.0,12,3.141042622905507,0.0,7.688524590163935,0.06851312404370759,0.039445628997867806,6,Major Second,0.05263157894736842,3,3,Violin,45.4,42.0,48.0,2.1540659228538015,3,4/4,0,122.0,Bach
G,minor,0.8659123151831178,3,-1,71.43513957307061,72.0,6.412437628812411,27.0,12,3.3176713254721233,-0.004934210526315789,4.021739130434782,0.06196072761951136,0.6351351351351351,22,Major Second,0.0,3,3,a-e,26.325581395348838,20.0,30.0,2.8178907684489265,3,4/4,0,92.0,Bach
G,minor,0.8957506741532679,4,-1,71.59241126070991,72.0,7.382558504557528,34.0,12,3.2721070119966034,-0.004286589099816289,4.226315789473684,0.05294871394733574,0.42341220423412207,7,Minor Second,0.0,4,4,d,67.76923076923077,25.0,120.0,10.386039788350857,4,4/4,0,380.0,Bach
B-,major,0.9340647211614231,3,-1,69.96463654223969,70.0,7.092618185581727,31.0,11,3.0559827043407126,0.023622047244094488,4.041666666666667,0.019192794133276653,0.26804123711340205,10,Major Second,0.0,3,3,a-e,36.88636363636363,25.0,40.0,3.8017095980319953,3,12/8,0,120.0,Bach
A,major,0.9174018336464617,6,4,62.48881292728403,62.0,12.931539117049956,65.0,12,3.2063397872137402,-0.0010878010878010878,4.670036764705882,0.2586550370386917,0.16355048218854557,31,Perfect Octave,0.16095534787123572,3,3,Piano Right,141.11904761904762,22.0,168.0,41.878908420845235,6,2/4,0,1088.0,Beethoven
C,major,0.8986599401137655,3,0,62.0382096069869,62.0,14.23686334896842,63.0,12,3.1925489057157312,-0.0015287180607119458,5.432409739714526,0.11110825376424972,0.15579598145285936,37,Perfect Octave,0.06693440428380187,3,3,Piano Right,81.78070175438596,20.0,160.0,43.015247963975256,9,8/8,0,595.5,Beethoven
E-,major,0.9519940950495311,0,,64.7960092642081,65.0,10.386126559396748,52.0,12,3.078895144226374,-0.0042765502494654314,5.275375939849624,0.3745986965117403,0.2973454480669874,0,,0.0,4,4,Clarinet,130.0,130.0,130.0,0.0,8,4/4,0,1064.0,Beethoven
B-,major,0.9562532645969019,0,,62.79926410466067,63.0,9.628556062785645,52.0,12,3.0573095446757885,-0.014723926380368098,6.148717948717949,0.2412204864214758,0.34070058381984986,3,Major Second,0.0,4,4,Clarinet,66.66666666666667,50.0,75.0,11.785113019775793,8,6/8,0,390.0,Beethoven
E-,major,0.9232995395027246,0,,65.8302532511978,67.0,10.665433583104052,60.0,12,2.8327482709962086,-0.014720985963711058,3.092063492063492,0.4450962007401193,0.5585215605749486,0,,0.0,4,4,Clarinet,300.0,300.0,300.0,0.0,8,3/4,0,945.0,Beethoven
E-,major,0.9553726784031308,0,,65.1400582472862,65.0,9.45105571423803,59.0,12,2.9925586645970568,-0.008209745762711865,4.159691629955947,0.22045848480648975,0.3500132380195923,0,,0.0,4,4,Clarinet,160.0,160.0,160.0,0.0,8,4/4,0,908.0,Beethoven
F,minor,0.9102514397408101,2,-4,63.6470054446461,62.0,10.929309447866771,57.0,12,3.231722380839629,0.0022696323195642307,2.176829268292683,0.3618340582420396,0.2145658263305322,34,Perfect Octave,0.01556420233463035,2,2,Left,173.33333333333334,140.0,200.0,24.944382578492945,4,1/2,0,820.0,Beethoven
F,major,0.9105511471399569,2,-1,66.99632623071271,67.0,11.078405417368948,58.0,12,3.092571719375121,0.003676470588235294,4.438502673796791,0.17429598917759218,0.30481927710843376,25,Major Second,0.03296703296703297,2,2,Left,47.375,40.0,55.0,4.670942981169149,4,1/4,0,187.0,Beethoven
C,major,0.9234578955846012,2,0,63.07824427480916,64.0,10.791199409875095,57.0,12,3.098211189758123,0.008114558472553698,2.5343811394891946,0.1538992924103119,0.35426356589147284,29,major triad,0.22981366459627328,2,2,Left,85.61904761904762,50.0,94.0,7.111199687656959,4,1/4,0,509.0,Beethoven
G,major,0.9219594790462988,2,1,63.05113362276894,62.0,12.216146698219925,59.0,12,3.113310421705857,-0.013513513513513514,3.9304123711340204,0.07721226074233177,0.33967213114754097,17,Major Second,0.02564102564102564,2,2,Left,115.125,85.0,125.0,8.27426985701256,4,1/8,0,388.0,Beethoven
G,major,0.8672699582213063,2,1,65.42346497549727,67.0,11.637962973430575,59.0,12,3.3153014167222756,0.0014417531718569781,4.899353647276085,0.11587420814056665,0.19939690915944214,24,Minor Third,0.015345268542199489,2,2,Left,82.98550724637681,50.0,90.0,6.671359406965271,4,1/4,0,541.5,Beethoven
E-,major,0.9455517955184172,2,-3,60.01401664476566,58.0,10.97784874864888,58.0,12,3.2242522144164245,0.0021910604732690623,8586/2125,0.119274139196693,0.17120894479385046,40,major triad,0.1602112676056338,2,2,Left,55.278481012658226,35.0,60.0,4.590680457161668,2,3/8,0,2125/6,Beethoven
B-,major,0.898028444397121,2,-2,63.92086129753915,65.0,11.37327566087126,60.0,12,3.227830297389045,0.0013986013986013986,5.764485981308411,0.09252051533174831,0.2619974059662776,53,Perfect Octave,0.008653846153846154,2,2,Left,71.7,50.0,80.0,6.211011726495666,4,1/4,0,401.25,Beethoven
A-,major,0.8916307675746744,6,-4,61.79632768361582,63.0,11.300944316573538,58.0,12,3.053363737581491,0.0014128284826222096,5.674906367041198,0.043453851996977454,0.24287222808870115,67,Perfect Octave,0.01638065522620905,2,2,Left,52.40298507462686,30.0,75.0,10.788412387167917,4,1/8,0,333.75,Beethoven
G#,minor,0.8921140420674294,6,-7,55.3240058910162,56.0,10.794054530691929,57.0,12,3.252299284803136,0.008349705304518664,2.7566765578635013,0.4958172612888611,0.1216361679224973,30,Perfect Octave,0.15074626865671642,2,2,Left,81.82222222222222,40.0,90.0,9.789538381782618,4,1/4,0,337.0,Beethoven
A-,major,0.8835872121356967,2,-4,62.429112326461926,64.0,13.22473787293134,58.0,12,3.1648094628041035,-0.013047138047138047,5.713091922005571,0.08890161557989457,0.03754266211604096,26,Perfect Octave,0.05405405405405406,2,2,Left,141.04166666666666,120.0,150.0,7.356851492920656,4,1/4,0,359.0,Beethoven
E-,major,0.9144558281861033,6,-3,59.434741338395824,60.0,11.192151314048555,56.0,12,3.193474326201501,0.0023741690408357074,3.555003107520199,0.1913894322460756,0.11048951048951049,30,major triad,0.2809278350515464,2,2,Left,77.10810810810811,50.0,150.0,27.2354933206789,6,4/4,0,402.25,Beethoven
C#,minor,0.825660687476208,3,4,58.13321799307958,61.0,10.874380403503064,58.0,12,3.201230041845737,-0.006060606060606061,3.6097560975609757,0.5939047155263318,0.11003861003861004,6,Perfect Octave,0.01904761904761905,3,3,Klavier - Right (Sub),51.084210526315786,30.0,57.0,4.895031117356579,3,4/4,0,287.0,Beethoven
C#,minor,0.8331944924063441,2,4,60.7469262295082,61.0,13.678729681668536,59.0,12,3.180297825775143,0.0,4.833928571428571,0.1923624226506795,0.11193202807536018,48,Perfect Octave,0.0718232044198895,2,2,Left,146.41884816753927,60.0,160.0,14.241832810935652,2,4/4,0,1120.0,Beethoven
C#,minor,0.8331944924063441,2,4,60.7469262295082,61.0,13.678729681668536,59.0,12,3.180297825775143,0.0,4.833928571428571,0.1923624226506795,0.11193202807536018,48,Perfect Octave,0.0718232044198895,2,2,Left,146.41884816753927,60.0,160.0,14.241832810935652,2,4/4,0,1120.0,Beethoven
